Title,Time,Link,Image URL,Teaser,Source Name
KOLs Discuss Atezolizumab & Bevacizumab in Liver Cancer,2024-09-10 09:30:00,https://www.cancernetwork.com/view/using-atezolizumab-bevacizumab-in-practice,https://medsii.azureedge.net/images/638615574121062047-66e010fe6157181811bbccee.jpg,"The article highlights the IMbrave150 trial, focusing on the combination of atezolizumab and bevacizumab for treating hepatocellular carcinoma (HCC). Key opinion leaders discuss their experiences and insights regarding the trial's efficacy data and its implications for clinical practice. The content emphasizes the importance of translating evidence into practice and includes links to related resources and events.",Google Alerts <googlealerts-noreply@google.com>
Rubella Infection Raises MS Risk in the Non-immunised,2024-09-10 09:20:00,https://multiplesclerosisnewstoday.com/news-posts/2024/09/09/ms-risk-unvaccinated-people-elevated-rubella-infection-study/,https://medsii.azureedge.net/images/638615568331040849-66e00dfc6157181811bbccdd.jpg,"A Swedish study suggests that having antibodies against the rubella virus may increase the risk of developing multiple sclerosis (MS) in unvaccinated individuals. The research indicates that rubella infection could be a potential risk factor for MS, supporting the idea that certain viral infections may trigger the immune responses linked to the disease. The study found that unvaccinated MS patients had a significantly higher presence of rubella antibodies compared to healthy controls. Researchers caution that further studies are necessary to confirm these findings and understand the mechanisms involved, particularly the role of molecular mimicry.",Multiple Sclerosis News Today
Regeneron to use Digital Biomarkers in Parkinson's Trial,2024-09-10 09:05:00,https://pharmaphorum.com/news/regeneron-joins-koneksa-parkinsons-digital-biomarker-study,https://medsii.azureedge.net/images/638615559431472528-66e00b5d6157181811bbccdb.jpg,"Regeneron has joined the LEARNS trial, a remote study by Koneksa, which uses digital biomarkers to monitor Parkinson's disease progression through smartphone and wearable tech. The trial, enrolling up to 70 participants over 12 months, aims to enhance the development of disease-modifying therapies. Regeneron, alongside MSD/Merck & Co, will have real-time access to trial data for analysis and design. The initiative seeks to improve quantitative measures in monitoring Parkinson's, addressing the challenges of relying on subjective assessments. Other projects, like the DREAM Challenge, also explore digital biomarkers for the disease.",Pharmaphorum
Diamyd Pursues FDA Accelerated Approval to Delay Type 1 Diabetes Worsening,2024-09-10 08:59:00,https://www.prnewswire.com/news-releases/diamyd-medical-to-pursue-accelerated-approval-pathway-for-type-1-diabetes-precision-medicine-302241751.html,https://medsii.azureedge.net/images/638615555869451478-66e0088f4e2a8b3bb835601c.jpg,"Diamyd Medical is seeking accelerated approval from the U.S. FDA for its immunotherapy, Diamyd® (rhGAD65/alum), targeting Stage 3 Type 1 Diabetes. The company plans to base its Biologics License Application (BLA) on an upcoming interim readout from the DIAGNODE-3 Phase 3 trial, expected in March 2026. The trial, involving around 330 patients across Europe and the U.S., focuses on preserving insulin production. Diamyd® has received Fast Track designation, and the FDA may approve its use based on C-peptide levels as a surrogate endpoint.",PR Newswire ClinicalTrials Medical Discoveries
As­tra's Biological Fails Pri­ma­ry End­point in Phase 2 COPD Tri­al,2024-09-10 08:48:00,https://endpts.com/astrazenecas-monoclonal-antibody-misses-primary-endpoint-in-mid-stage-trial-in-copd/,https://medsii.azureedge.net/images/638615549979129032-66e007544e2a8b3bb835600e.jpg,"AstraZeneca's anti-IL-33 monoclonal antibody did not succeed in a Phase 2a study for chronic obstructive pulmonary disease (COPD). However, the company reported some ""encouraging clinical efficacy signals"" despite the failure.",endpointnews
UK Funds Hospital Use of Merck's Welireg for Rare Genetic Disorder,2024-09-10 08:44:00,https://pharmaphorum.com/news/nice-clears-nhs-use-msds-welireg-genetic-disorder,https://medsii.azureedge.net/images/638615546546870199-66e0060e6157181811bbccd0.png,"Welireg (belzutifan), an oral treatment for the rare genetic disorder von Hippel-Lindau (VHL) disease, will soon be available to patients in England and Wales through the NHS, following its approval in Scotland. The drug is recommended for adults with VHL-associated renal cell carcinoma, brain tumours, or pancreatic neuroendocrine tumours when surgery is not viable. This conditional recommendation by NICE follows a previous withholding due to evidence uncertainties. With approximately 100 eligible patients in England, the decision is viewed as a significant breakthrough, providing an alternative to invasive surgeries and radiotherapy.",Pharmaphorum
Longeviti Neuro Gets US Patent for Neurosurgical Brain Implant,2024-09-09 06:12:00,https://www.healio.com/news/neurology/20240816/longeviti-neuro-solutions-secures-us-patent-for-neurosurgical-cranial-implant,https://medsii.azureedge.net/images/638614591637377731-66de91004e2a8b3bb8355ea7.jpg,"Longeviti Neuro Solutions, a neurotechnology company in Maryland, has obtained a U.S. patent for its innovative prosthetic translucent cranial implant designed for neurosurgical procedures. The ClearFit implant integrates brain-computer interface capability, brain mapping, and neurosonography, enabling direct brain communication with external devices and real-time monitoring of brain activity during surgery. This advancement aims to enhance precision in neurological procedures and reduce costs and time associated with brain monitoring globally, according to Longeviti Neuro Solutions CEO Jesse Christopher.",Healio
mRNA Jab Gives More Mpox Protection vs. Licensed Version,2024-09-09 06:06:00,https://www.drugtargetreview.com/news/152646/mrna-vaccine-provides-enhanced-protection-against-mpox/,https://medsii.azureedge.net/images/638614587884468851-66de8f79ac48c5e342a26582.jpg,"A study funded by Moderna, NIAID, and NIH found that an investigational mRNA mpox vaccine outperformed the licensed Modified Vaccinia Ankara (MVA) vaccine in non-human primates. The mRNA vaccine significantly reduced symptoms, disease duration, and viral shedding compared to MVA, while all vaccinated animals survived lethal mpox exposure. The mRNA vaccine also demonstrated potential for cross-immunity against various Orthopoxviruses. The findings suggest mRNA technology could provide effective, safer vaccines for preventing mpox and related diseases. Moderna's mRNA-1769 vaccine is currently undergoing Phase I/II clinical trials.",Drug Target Review
FDA Grants Full Approval For Rare Kidney Disease Drug,2024-09-09 06:01:00,https://endpts.com/fda-grants-full-approval-to-traveres-filspari-for-igan/,https://medsii.azureedge.net/images/638614584883118964-66de8eb66157181811bbcc29.jpg,"Traver Therapeutics has received full approval for Filspari (sparsentan), a treatment for a rare autoimmune disease impacting the kidneys. The drug had previously received accelerated approval.",endpointnews
GSK's Nucala Shows Positive Results in New COPD Trial,2024-09-09 05:56:00,https://pharmaphorum.com/news/gsk-says-nucala-hits-target-new-copd-trial,https://medsii.azureedge.net/images/638614581666221290-66de8d32ac48c5e342a26581.jpg,"GSK's asthma treatment Nucala (mepolizumab) shows promise as a COPD therapy following positive results from the phase 3 MATINEE trial, which demonstrated a significant reduction in exacerbation rates compared to placebo. Although GSK faced setbacks in previous trials, the new findings could lead to regulatory discussions for extending Nucala's indications. The drug, already approved for severe eosinophilic asthma, generated £856 million in sales in the first half of 2023. With COPD affecting over 300 million people globally, Nucala could tap into a substantial market as new therapies emerge in the field.",Pharmaphorum
"Mg Valproate, Lamotrigine Ease Neuropsychiatric Symptoms in Encephalitis",2024-09-11 07:50:00,https://doi.org/10.1186/s12883-024-03811-z,https://medsii.azureedge.net/images/638616378267198844-66e14a35001b19ebcdecefde.jpg,"Anti-N-methyl-D-aspartate receptor (NMDAR) encephalitis is a rare autoimmune condition characterized by  due to an autoimmune reaction against the NMDAR. The study examines the efficacy of adjuvant therapies—olanzapine, magnesium valproate, and lamotrigine—alongside standard immunotherapy. Results indicate that magnesium valproate and lamotrigine significantly enhance cognitive and neurological functions while restoring the excitatory/inhibitory balance in the brain, compared to olanzapine. The study suggests that these adjuvant treatments may improve clinical outcomes in patients with anti-NMDAR encephalitis, although limitations such as sample size and retrospective design are acknowledged.",Springer Link
Diabetes Drug Metformin May Deplete HIV Reservoirs,2024-09-11 07:39:00,https://medicalxpress.com/news/2024-09-diabetes-drug-immune-reservoirs-hiv.html,https://medsii.azureedge.net/images/638616371770178330-66e1479da042693efa9b1736.jpg,"A study by Canadian researchers suggests that metformin, commonly used for type 2 diabetes, may help deplete and potentially eliminate the HIV viral reservoir in individuals receiving antiretroviral therapy. The research, led by Petronela Ancuta, demonstrated metformin's dual effects: enhancing immunity while inhibiting HIV replication in CD4 T lymphocytes. It boosts the BST2 protein, aiding immune recognition of infected cells. Ancuta envisions using metformin in a ""shock-and-kill"" strategy, alongside antibodies, to target and eliminate these cells. Future clinical trials are planned to validate these findings.",MedicalXpress
Mirtazapine Fails to Ease COPD Symptoms in Larger Trial,2024-09-11 07:23:00,https://www.hcplive.com/view/mirtazapine-fails-to-ease-breathlessness-in-new-study-despite-previous-hopes,https://medsii.azureedge.net/images/638616361814404885-66e14437a042693efa9b1735.jpg,"A phase 3 study has found that mirtazapine, an antidepressant, does not alleviate breathlessness in patients with respiratory diseases like COPD and interstitial lung diseases. Despite prior suggestions that it could modulate respiratory sensation, the trial showed no significant differences in breathlessness scores between mirtazapine and placebo groups. The study involved 225 participants and reported adverse events more frequently in the mirtazapine group. Researchers concluded that mirtazapine is not recommended for treating breathlessness and emphasized the necessity for rigorous testing of off-label medications in palliative care.",HCPLive
FDA Rare Disease Award for Radiopharmaceutical in Carcinomas,2024-09-11 07:16:00,https://www.targetedonc.com/view/fda-grants-orphan-drug-designation-to-abd-147-in-neuroendocrine-carcinoma,https://medsii.azureedge.net/images/638616357706757383-66e1431fd832db8b2bed8e0a.jpg,"The FDA has granted orphan drug designation and fast track designation to ABD-147, a next-generation precision radiopharmaceutical therapy developed by Abdera Therapeutics, for treating neuroendocrine carcinoma, including small cell lung cancer (SCLC) and large cell neuroendocrine carcinoma (LCNEC). ABD-147 targets DLL3-expressing tumors, delivering actinium-225 to enhance treatment efficacy. A first-in-human study is set to begin in 2024 for patients previously treated with platinum-based therapies. The designations provide incentives for development, including tax credits and potential market exclusivity.",Targeted Oncology
Lilly's Weekly Insulin Matches Daily Injections in Type II Diabetes,2024-09-11 07:10:00,https://www.prnewswire.com/news-releases/once-weekly-dose-of-insulin-efsitora-alfa-delivers-a1c-reduction-consistent-with-the-most-advanced-daily-insulin-in-people-with-type-2-diabetes-302243899.html,https://medsii.azureedge.net/images/638616354194383390-66e14139a042693efa9b1727.jpg,"Eli Lilly announced results from the QWINT-2 phase 3 trial, evaluating insulin efsitora alfa, a once-weekly basal insulin, in adults with type 2 diabetes. The trial demonstrated that efsitora reduced A1C levels by 1.34%, achieving A1C of 6.87%, compared to 1.26% and 6.95% for insulin degludec. Efsitora also provided 45 more minutes in glucose range daily without increasing hypoglycemia risk. The findings were published in The New England Journal of Medicine and presented at the EASD Annual Meeting 2024, highlighting efsitora's potential to improve treatment adherence and reduce diabetes management complexity.",PR Newswire ClinicalTrials Medical Discoveries
Spanish Launch for Piflufolastat Diagnostic in Prostate Cancer,2024-09-12 07:20:00,https://www.urologytimes.com/view/piflufolastat-18f-enters-commercial-market-in-spain,https://medsii.azureedge.net/images/638617224445950507-66e292f1d832db8b2bed8f40.jpg,"Piflufolastat (18F), marketed as Pylclari, is now available in Spain for detecting PSMA-positive lesions in prostate cancer patients using PET imaging. Developed by Curium, it was approved in the U.S. in May 2021. The tracer aids in staging high-risk prostate cancer and localizing recurrences. Following its EU marketing authorization in July 2023, it is now available in seven countries, including Spain. Clinical trials demonstrated its high specificity, sensitivity, and positive predictive value, with minimal adverse events reported. The availability of Pylclari marks a significant advancement in prostate cancer diagnostics.",Urology Times
