Title,Time,Link,Medscape Link,Teaser,Image URL,Content Type
Early Home Care of Second Trimester Medical Abortion Is Safe,2024-09-03 09:00:00,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736/(24/)01079-1/fulltext,https://www.medscape.co.uk/viewarticle/early-home-care-second-trimester-medical-abortion-safe-cuts-2024a1000ftt,"In the home care group, 71% of the participants later spent fewer than 9 hours in hospital vs 46% of the hospital group.",https://img.medscapestatic.com/vim/live/professional_assets/gty_220726_woman_poc_depression_800x450.jpg,Clinical Summary
Boosting Thiazide Dosage Can Reduce Kidney Stone Risk,2024-09-03 02:24:54,http://medscape.com/viewarticle/boosting-thiazide-dosage-can-reduce-kidney-stone-risk-2024a1000fx9,https://www.medscape.com/viewarticle/boosting-thiazide-dosage-can-reduce-kidney-stone-risk-2024a1000fx9,Increased thiazide doses were associated with a greater decrease in urine calcium and kidney stone events over a 4-year period in adults who had kidney stones.,https://img.medscapestatic.com/vim/live/professional_assets/medscape/images/thumbnail_library/dt_240205_kidney_cancer_800x450.jpg,Clinical Summary
Infertility Prevalence After Testicular Cancer,2024-09-02 09:00:00,http://medscape.co.uk/viewarticle/first-meta-analysis-infertility-prevalence-after-testicular-2024a1000frn,https://www.medscape.co.uk/viewarticle/first-meta-analysis-infertility-prevalence-after-testicular-2024a1000frn,"A meta-analysis of 30 studies found low prevalence of infertility, at 14%.",https://img.medscapestatic.com/vim/live/professional_assets/ps_150302_testicular_cancer_800x600.jpg,Clinical Summary
Can Prenatal Fish Oil Reduce AD Risk in Children?,2024-09-02 08:43:26,https://jamanetwork.com/journals/jama/fullarticle/10.1001/jamadermatol.2024.2849,https://www.medscape.com/viewarticle/prenatal-fish-oil-supplementation-and-ad-risk-children-tied-2024a1000fwh,"The mother's COX1 genotype could influence whether prenatal fish oil supplementation affects the risk for atopic dermatitis in children, a study found.",https://img.medscapestatic.com/vim/live/professional_assets/medscape/images/thumbnail_library/gty_210818_vitamin_d_800x450.jpg,Clinical Summary
UK's Hereditary Cardiac Amyloidosis Rates Higher Than Expected,2024-09-02 05:53:22,https://jamanetwork.com/journals/jamacardiology/fullarticle/2822884,https://www.medscape.co.uk/viewarticle/uks-hereditary-cardiac-amyloidosis-rates-higher-than-2024a1000fw1,The researchers urged increased clinical vigilance for hereditary transthyretin amyloidosis in patients with symptoms or unexplained heart muscle thickening.,https://img.medscapestatic.com/vim/live/professional_assets/medscape/images/thumbnail_library/ps_240405_amyloidosis_800x450.jpg,Clinical Summary
Does Gram Stain Enhance UTI Diagnosis in the ED?,2024-09-02 05:14:36,http://medscape.com/viewarticle/gram-stain-doesnt-improve-uti-diagnosis-ed-2024a1000fqq,https://www.medscape.com/viewarticle/gram-stain-doesnt-improve-uti-diagnosis-ed-2024a1000fqq,"Compared with other methods, urine Gram stain moderately predicted gram-negative bacteria but added little value to UTI diagnosis in the ED, raising questions about its clinical utility.",https://img.medscapestatic.com/vim/live/professional_assets/medscape/images/thumbnail_library/gty_220725_microscope_medical_research_800x450.jpg,Clinical Summary
How Can Primary Care Teams Collaborate More Effectively?,2024-09-02 02:59:00,http://medscape.co.uk/viewarticle/how-can-primary-care-teams-collaborate-more-effectively-2024a1000f0i,https://www.medscape.co.uk/viewarticle/how-can-primary-care-teams-collaborate-more-effectively-2024a1000f0i,"View from the ground, by Dr Honor Merriman",,Guidelines in Practice
Meat Consumption Tied to Higher Type 2 Diabetes Risk,2024-09-04 09:00:00,https://www.thelancet.com/journals/landia/article/PIIS2213-8587(24)00179-7/fulltext,https://www.medscape.co.uk/viewarticle/meat-consumption-tied-higher-type-2-diabetes-risk-2024a1000fiz,"Global data from more than one million people finds a significant link, particularly with processed meat and unprocessed red meat, across populations.",https://img.medscapestatic.com/vim/live/professional_assets/medscape/images/thumbnail_library/gty_240731_red_meat_processed_800x450.jpg,Clinical Summary
No Mental Health Concerns With GLP-1 Receptor Agonist Use?,2024-09-04 06:07:33,https://jamanetwork.com/journals/jamainternalmedicine/fullarticle/2823083?guestAccessKey=2dc15077-db5b-45cf-b2f1-f1fcf6020c5c&utm_source=For_The_Media&utm_medium=referral&utm_campaign=ftm_links&utm_content=tfl&utm_term=090324,https://www.medscape.co.uk/viewarticle/no-mental-health-concerns-glp-1-receptor-agonist-use-2024a1000g0g,"Following nearly 150 reports of suicidal thoughts and self-harm linked to GLP-1 receptor agonists, the European Medicines Agency launched an investigation last year.",https://img.medscapestatic.com/vim/live/professional_assets/medscape/images/thumbnail_library/dt_240716_semaglutide_pen_800x450.jpg,Clinical Summary
Nearly 45% of Cancer Survivors Report Financial Struggle,2024-09-04 05:17:17,"https://jamanetwork.com/journals/jamanetworkopen/fullarticle/2822454#:~:text=In%20this%20cross%2Dsectional%20study%2C%20approximately%2050%25%20of%20cancer,disadvantaged%2C%20and%20had%20advanced%20disease",https://www.medscape.com/viewarticle/nearly-45-cancer-survivors-report-financial-struggle-2024a1000g05,"A study found that a range of factors, including younger age, lower income, advanced cancer stages, and higher social vulnerability, contributed to the financial strain.",https://img.medscapestatic.com/vim/live/professional_assets/medscape/images/thumbnail_library/gty_221103_scale_healthcare_costs_800x450.jpg,Clinical Summary
