Title,Link,Time
Digital Health Coffee Time Briefing ☕,https://www.digitalhealth.net/2024/09/digital-health-coffee-time-briefing-%e2%98%95-6/,2024-09-26 11:30:00
NHSE commissions rapid review of acute trusts’ EPR plans,https://www.digitalhealth.net/2024/09/rapid-review-of-acute-trusts-epr-plans-commissioned-by-nhse/,2024-09-26 11:00:00
Cohort announced for sixth Propel@YH accelerator programme,https://www.digitalhealth.net/2024/09/cohort-announced-for-sixth-propelyh-accelerator-programme/,2024-09-26 08:30:00
Royal National Orthopaedic Hospital to roll out Epic EHR in 2025,https://www.digitalhealth.net/2024/09/royal-national-orthopaedic-hospital-to-roll-out-epic-epr-in-2025/,2024-09-25 13:30:00
PharmacyX tests electronic prescription software for use in Wales,https://www.digitalhealth.net/2024/09/pharmacyx-tests-electronic-prescription-software-for-use-in-wales/,2024-09-25 11:00:00
‘Two-factor authentication may have stopped Synnovis cyber attack’,https://www.digitalhealth.net/2024/09/two-factor-authentication-may-have-stopped-synnovis-cyber-attack/,2024-09-25 08:30:00
Prescription tracking feature launched on the NHS App,https://www.digitalhealth.net/2024/09/prescription-tracking-feature-launched-on-the-nhs-app/,2024-09-24 14:22:00
Digital Health Coffee Time Briefing ☕,https://www.digitalhealth.net/2024/09/digital-health-coffee-time-briefing-%e2%98%95-5/,2024-09-24 11:30:00
"One in five GPs using AI tools in clinical practice, finds BMJ survey",https://www.digitalhealth.net/2024/09/one-in-five-gps-using-ai-tools-in-clinical-practice-finds-bmj-survey/,2024-09-24 11:00:00
Southern Health launches EPS for outpatient community services,https://www.digitalhealth.net/2024/09/southern-health-nhs-ft-launches-cleo-systems-eps/,2024-09-24 08:30:00
Dartford and Gravesham goes live with Better Meds ePMA,https://www.digitalhealth.net/2024/09/dartford-and-gravesham-goes-live-with-better-meds-epma/,2024-09-23 13:30:00
More than half of acute trusts signed up to the NHS FDP,https://www.digitalhealth.net/2024/09/more-than-half-of-acute-trusts-signed-up-to-the-nhs-fdp/,2024-09-23 11:00:00
