Title,Time,Link,Source Link,Teaser,Image URL,Content Type
Extra Vitamin D in Pregnancy Boosts Offspring Bone Density,2024-09-25 09:00:00,https://www.medscape.co.uk/viewarticle/extra-vitamin-d-pregnancy-boosts-offspring-bone-density-2024a1000h6y,https://ajcn.nutrition.org/article/S0002-9165/(24/)00746-9/fulltext,A post hoc analysis confirmed an effect that lasts through early childhood.,https://img.medscapestatic.com/vim/live/professional_assets/medscape/images/thumbnail_library/dt_240513_dexa_scan_800x450.jpg,Clinical Summary
Serum Phosphate Levels Differ Between Men and Women,2024-09-25 09:00:00,https://www.medscape.co.uk/viewarticle/serum-phosphate-levels-differ-between-men-and-women-2024a1000h74,https://academic.oup.com/jcem/advance-article/doi/10.1210/clinem/dgae633/7758750?login=false,"Findings point to the need for sex-specific reference intervals, authors say.",https://img.medscapestatic.com/vim/live/professional_assets/dt_240828_blood_samples_800x450px.jpg,Clinical Summary
"Diabetic Foot Problems Disrupt Lives, Across Ethnicities",2024-09-24 09:00:00,https://www.medscape.co.uk/viewarticle/diabetic-foot-problems-disrupt-lives-across-ethnicities-2024a1000h73,https://onlinelibrary.wiley.com/doi/full/10.1111/dme.15420?campaign=woletoc,Lack of knowledge and barriers to access were common themes.,https://img.medscapestatic.com/vim/live/professional_assets/medscape/images/thumbnail_library/dt_240415_diabetes_foot_800x450.jpg,Clinical Summary
Higher BMI in Both Women and Men Tied to Lower Fertility,2024-09-24 09:00:00,https://www.medscape.co.uk/viewarticle/higher-bmi-both-women-and-men-tied-lower-fertility-2024a1000h5m,https://jamanetwork.com/journals/jamanetworkopen/fullarticle/10.1001/jamanetworkopen.2024.36157?guestAccessKey=af696af6-afdf-42cc-8d48-65fe9d0c8bcc&utm_source=for_the_media&utm_medium=referral&utm_campaign=ftm_links&utm_content=tfl&utm_term=091924,"Findings applied to men and women in the preconception period, and, in women, early pregnancy.",https://img.medscapestatic.com/vim/live/professional_assets/is_190403_obese_overweight_pregnant_couple_800x450.jpg,Clinical Summary
Does Pet Ownership Promote Children's Development?,2024-09-23 09:00:00,https://www.medscape.co.uk/viewarticle/does-pet-ownership-promote-childrens-development-2024a1000h3u,https://bmcpediatr.biomedcentral.com/articles/10.1186/s12887-024-05049-7,"A UK study found no apparent emotional or cognitive benefits, but possible upsides emerged.",https://img.medscapestatic.com/vim/live/professional_assets/medscape/images/thumbnail_library/gty_240314_mice_wheel_800x450.jpg,Clinical Summary
Immunotherapy Improves Survival in Early Triple-Negative Breast Cancer,2024-09-23 09:00:00,https://www.medscape.co.uk/viewarticle/immunotherapy-improves-5-year-overall-survival-early-stage-2024a1000h2a,https://www.nejm.org/doi/pdf/10.1056/NEJMoa2409932,The KEYNOTE-522 trial found that pembrolizumab extends overall survival by 4.9 percentage points over chemotherapy alone.,https://img.medscapestatic.com/vim/live/professional_assets/dt_170811_immunotherapy_car_t_cells_cancer_800x600.jpg,Clinical Summary
Does Bariatric Surgery Also Improve Thyroid Function?,2024-09-23 05:42:59,https://www.medscape.com/viewarticle/does-bariatric-surgery-also-improve-thyroid-function-2024a1000h7x,https://academic.oup.com/jcem/advance-article-abstract/doi/10.1210/clinem/dgae605/7747824?redirectedFrom=fulltext,"Metabolic/bariatric surgery improved thyroid function and hormone resistance in patients with obesity, which was correlated with improvement in body composition.",https://img.medscapestatic.com/vim/live/professional_assets/medscape/images/thumbnail_library/dt_240920_thyroid_measuring_tape_800x450.jpg,Clinical Summary
Cardiovascular Risk Merits Attention in Newly Diagnosed Gout,2024-09-20 10:00:00,https://www.medscape.co.uk/viewarticle/cardiovascular-risk-merits-attention-newly-diagnosed-gout-2024a1000gvv,https://acrjournals.onlinelibrary.wiley.com/doi/10.1002/art.42986,The risk was elevated in the first 30 days after diagnosis but less so in patients who received anti-inflammatory drugs.,https://img.medscapestatic.com/vim/live/professional_assets/medscape/images/thumbnail_library/gty_240206_foot_gout_800x450.jpg,Clinical Summary
"Reduced Starch, Sucrose Diet On Par With Low FODMAP in IBS",2024-09-20 09:00:00,https://www.medscape.co.uk/viewarticle/reduced-starch-sucrose-diet-par-low-fodmap-ibs-2024a1000gzr,https://www.mdpi.com/2072-6643/16/17/3039,Various diets effective in IBS patients.,https://img.medscapestatic.com/vim/live/professional_assets/medscape/images/thumbnail_library/gty_211215_fodmap_diet_foods_800x450.jpg,Clinical Summary
Stroke: Data Support Genotype-Tailored Antiplatelet Therapy,2024-09-19 10:00:00,https://www.medscape.co.uk/viewarticle/data-support-clopidogrel-genotype-testing-after-stroke-tia-2024a1000gsw,https://www.journalslibrary.nihr.ac.uk/hta/PWCB4016#/abstract,"Testing for genetic variants that confer resistance to clopidogrel, followed by appropriately tailored therapy, improved outcomes.",https://img.medscapestatic.com/vim/live/professional_assets/medscape/images/thumbnail_library/is_240308_doctor_medication_prescription_800x450.jpg,Clinical Summary
