Title,Timestamp,Article Text,Image URL Derived,Image URL 2,Source Name,Source URL
Portable Imaging Device Accelerates Ear Disease Diagnosis,2024-07-10 07:42:00,"Apellis Pharma's marketing application for the eye disease treatment Syfovre was rejected by the EMA for a second time due to concerns about the drug's efficacy and safety profile. The CHMP cited lack of clinically meaningful benefit for patients, significant risk of adverse events, and reports of retinal vasculitis. Apellis plans to seek a re-evaluation of the decision, noting dissenting opinions within the panel. While approved in the US, the drug faces challenges in the EU. Pegcetacoplan, the active ingredient, is also used for a rare blood disorder. Despite setbacks, analysts had projected Syfovre as a potential blockbuster drug with significant sales potential.","https://pharmacontent.blob.core.windows.net/images/638561941683168309-668e3ab69a6becc26a556a5d.jpg",https://medsii.azureedge.net/images/638602518445448489-66cc249d6157181811bbc729.jpg,Eureka News,http://dx.doi.org/10.1117/1.JBO.29.8.086005
FDA Roundup for 23 August 2024,2024-07-10 07:42:00,"Apellis Pharma's marketing application for the eye disease treatment Syfovre was rejected by the EMA for a second time due to concerns about the drug's efficacy and safety profile. The CHMP cited lack of clinically meaningful benefit for patients, significant risk of adverse events, and reports of retinal vasculitis. Apellis plans to seek a re-evaluation of the decision, noting dissenting opinions within the panel. While approved in the US, the drug faces challenges in the EU. Pegcetacoplan, the active ingredient, is also used for a rare blood disorder. Despite setbacks, analysts had projected Syfovre as a potential blockbuster drug with significant sales potential.","https://pharmacontent.blob.core.windows.net/images/638561941683168309-668e3ab69a6becc26a556a5d.jpg",https://medsii.azureedge.net/images/638602513848441370-66cc2362ac48c5e342a25e9e.jpg,PR Newswire Medical Pharmaceuticals,https://www.prnewswire.com/news-releases/fda-roundup-august-23-2024-302229743.html
Multiple Myeloma CAR-T Trial Targets Triple Receptors,2024-07-10 07:42:00,"Apellis Pharma's marketing application for the eye disease treatment Syfovre was rejected by the EMA for a second time due to concerns about the drug's efficacy and safety profile. The CHMP cited lack of clinically meaningful benefit for patients, significant risk of adverse events, and reports of retinal vasculitis. Apellis plans to seek a re-evaluation of the decision, noting dissenting opinions within the panel. While approved in the US, the drug faces challenges in the EU. Pegcetacoplan, the active ingredient, is also used for a rare blood disorder. Despite setbacks, analysts had projected Syfovre as a potential blockbuster drug with significant sales potential.","https://pharmacontent.blob.core.windows.net/images/638561941683168309-668e3ab69a6becc26a556a5d.jpg",https://medsii.azureedge.net/images/638602509189243815-66cc217c6157181811bbc727.jpg,Google Alerts <googlealerts-noreply@google.com>,https://www.ajmc.com/view/new-car-t-trial-in-mm-aims-for-triple-receptor-targeting
New Technique Identifies 'Neo-epitopes' for Targeted Cancer Immunotherapy,2024-07-10 07:42:00,"Apellis Pharma's marketing application for the eye disease treatment Syfovre was rejected by the EMA for a second time due to concerns about the drug's efficacy and safety profile. The CHMP cited lack of clinically meaningful benefit for patients, significant risk of adverse events, and reports of retinal vasculitis. Apellis plans to seek a re-evaluation of the decision, noting dissenting opinions within the panel. While approved in the US, the drug faces challenges in the EU. Pegcetacoplan, the active ingredient, is also used for a rare blood disorder. Despite setbacks, analysts had projected Syfovre as a potential blockbuster drug with significant sales potential.","https://pharmacontent.blob.core.windows.net/images/638561941683168309-668e3ab69a6becc26a556a5d.jpg",https://medsii.azureedge.net/images/638600027551644159-66c857854e2a8b3bb8355676.jpg,MedicalXpress,https://medicalxpress.com/news/2024-08-validates-personalized-cancer-immunotherapy.html
UK Approves Leqembi for Early Alzheimer's disease,2024-07-10 07:42:00,"Apellis Pharma's marketing application for the eye disease treatment Syfovre was rejected by the EMA for a second time due to concerns about the drug's efficacy and safety profile. The CHMP cited lack of clinically meaningful benefit for patients, significant risk of adverse events, and reports of retinal vasculitis. Apellis plans to seek a re-evaluation of the decision, noting dissenting opinions within the panel. While approved in the US, the drug faces challenges in the EU. Pegcetacoplan, the active ingredient, is also used for a rare blood disorder. Despite setbacks, analysts had projected Syfovre as a potential blockbuster drug with significant sales potential.","https://pharmacontent.blob.core.windows.net/images/638561941683168309-668e3ab69a6becc26a556a5d.jpg",https://medsii.azureedge.net/images/638600000331302090-66c84d98ac48c5e342a25e0f.jpg,PR Newswire ClinicalTrials Medical Discoveries,https://www.prnewswire.com/news-releases/leqembi-lecanemab-authorized-for-early-alzheimers-disease-in-great-britain-302228485.html
China Approves Fulzerasib for Advanced KRAS G12C+ Lung Cancer,2024-07-10 07:42:00,"Apellis Pharma's marketing application for the eye disease treatment Syfovre was rejected by the EMA for a second time due to concerns about the drug's efficacy and safety profile. The CHMP cited lack of clinically meaningful benefit for patients, significant risk of adverse events, and reports of retinal vasculitis. Apellis plans to seek a re-evaluation of the decision, noting dissenting opinions within the panel. While approved in the US, the drug faces challenges in the EU. Pegcetacoplan, the active ingredient, is also used for a rare blood disorder. Despite setbacks, analysts had projected Syfovre as a potential blockbuster drug with significant sales potential.","https://pharmacontent.blob.core.windows.net/images/638561941683168309-668e3ab69a6becc26a556a5d.jpg",https://medsii.azureedge.net/images/638599998154588059-66c84ae04e2a8b3bb8355674.jpg,CancerNetwork,https://www.cancernetwork.com/view/fulzerasib-receives-approval-in-china-for-advanced-kras-g12c-nsclc
Heart Disease Risk Increases in Year After Stopping Statins,2024-07-10 07:42:00,"Apellis Pharma's marketing application for the eye disease treatment Syfovre was rejected by the EMA for a second time due to concerns about the drug's efficacy and safety profile. The CHMP cited lack of clinically meaningful benefit for patients, significant risk of adverse events, and reports of retinal vasculitis. Apellis plans to seek a re-evaluation of the decision, noting dissenting opinions within the panel. While approved in the US, the drug faces challenges in the EU. Pegcetacoplan, the active ingredient, is also used for a rare blood disorder. Despite setbacks, analysts had projected Syfovre as a potential blockbuster drug with significant sales potential.","https://pharmacontent.blob.core.windows.net/images/638561941683168309-668e3ab69a6becc26a556a5d.jpg",https://medsii.azureedge.net/images/638599071289069006-66c6e25a6157181811bbc65d.jpg,HCPLive,https://www.hcplive.com/view/cardiovascular-event-risk-increases-in-year-after-statin-discontinuation
Role of Iron Metabolism in Triple Negative Breast Cancer,2024-07-10 07:42:00,"Apellis Pharma's marketing application for the eye disease treatment Syfovre was rejected by the EMA for a second time due to concerns about the drug's efficacy and safety profile. The CHMP cited lack of clinically meaningful benefit for patients, significant risk of adverse events, and reports of retinal vasculitis. Apellis plans to seek a re-evaluation of the decision, noting dissenting opinions within the panel. While approved in the US, the drug faces challenges in the EU. Pegcetacoplan, the active ingredient, is also used for a rare blood disorder. Despite setbacks, analysts had projected Syfovre as a potential blockbuster drug with significant sales potential.","https://pharmacontent.blob.core.windows.net/images/638561941683168309-668e3ab69a6becc26a556a5d.jpg",https://medsii.azureedge.net/images/638599064117402868-66c6df10ac48c5e342a25d8a.jpg,MedicalXpress,https://medicalxpress.com/news/2024-08-iron-metabolism-aggressive-cancer.html
Highlights from Association of Diabetes Care & Education Specialists Annual Meeting,2024-07-10 07:42:00,"Apellis Pharma's marketing application for the eye disease treatment Syfovre was rejected by the EMA for a second time due to concerns about the drug's efficacy and safety profile. The CHMP cited lack of clinically meaningful benefit for patients, significant risk of adverse events, and reports of retinal vasculitis. Apellis plans to seek a re-evaluation of the decision, noting dissenting opinions within the panel. While approved in the US, the drug faces challenges in the EU. Pegcetacoplan, the active ingredient, is also used for a rare blood disorder. Despite setbacks, analysts had projected Syfovre as a potential blockbuster drug with significant sales potential.","https://pharmacontent.blob.core.windows.net/images/638561941683168309-668e3ab69a6becc26a556a5d.jpg",https://medsii.azureedge.net/images/638599056916207046-66c6dca56157181811bbc65c.jpg,HCPLive,https://www.hcplive.com/view/diabetes-dialogue-sotagliflozin-for-t1d-and-other-adces-2024-highlights
New US Plans to Waive Switch­ing Studies for Biosim­i­lars,2024-07-10 07:42:00,"Apellis Pharma's marketing application for the eye disease treatment Syfovre was rejected by the EMA for a second time due to concerns about the drug's efficacy and safety profile. The CHMP cited lack of clinically meaningful benefit for patients, significant risk of adverse events, and reports of retinal vasculitis. Apellis plans to seek a re-evaluation of the decision, noting dissenting opinions within the panel. While approved in the US, the drug faces challenges in the EU. Pegcetacoplan, the active ingredient, is also used for a rare blood disorder. Despite setbacks, analysts had projected Syfovre as a potential blockbuster drug with significant sales potential.","https://pharmacontent.blob.core.windows.net/images/638561941683168309-668e3ab69a6becc26a556a5d.jpg",https://medsii.azureedge.net/images/638598156405316246-66c57ce86157181811bbc60f.jpg,endpointnews,https://endpts.com/ftc-backs-fda-plan-to-remove-switching-study-requirement-for-interchangeable-biosimilars/
